Age,Gender,Education Level,Job Title,Years of Experienceexperience in months,,Salary
26,Male,Bachelor's,Junior Software Developer,1,12,35000
38,Female,Master's,Public Relations Manager,10,120,90000
45,Male,Bachelor's,Operations Analyst,20,240,110000
31,Female,Bachelor's,Event Coordinator,5,60,45000
35,Male,Master's,Product Marketing Manager,8,96,95000
49,Female,Master's,Senior HR Manager,19,228,150000
33,Male,Bachelor's,Junior Web Developer,5,60,50000
39,Female,Master's,Senior Project Coordinator,13,156,80000
44,Male,PhD,Chief Data Officer,16,192,220000
30,Female,Bachelor's,Digital Content Producer,3,36,50000
36,M,Bachelor's,IT Support Specialist,7,84,60000
41,Female,Master's,Senior Marketing Analyst,14,168,100000
28,Male,Bachelor's,Customer Success Manager,2,24,40000
42,Female,Master's,Senior Graphic Designer,15,180,110000
37,Male,Bachelor's,Software Project Manager,9,108,95000
50,Female,Bachelor's,Supply Chain Analyst,22,264,130000
32,Male,Master's,Senior Business Analyst,6,72,90000
23,Female,Bachelor's,Junior Marketing Analyst,0.5,6,35000
31,Male,Master's,Senior Financial Analyst,6,72,95000
40,Female,Bachelor's,Office Manager,15,180,65000
48,Male,PhD,Principal Engineer,20,240,170000
29,Female,Bachelor's,Junior HR Generalist,3,36,45000
35,Male,Master's,Senior Product Manager,10,120,120000
42,Female,Bachelor's,Sales Manager,17,204,100000
53,Male,Master's,Director of Marketing,25,300,180000
33,Female,Bachelor's,Junior Operations Analyst,5,60,50000
38,Male,Bachelor's,Customer Service Manager,11,132,80000
44,Female,PhD,Senior Scientist,16,192,140000
26,Male,Bachelor's,Junior Accountant,2,24,40000
37,Female,Master's,Senior HR Generalist,9,108,95000
45,Male,Bachelor's,Sales Operations Manager,18,216,110000
32,Female,Bachelor's,Marketing Coordinator,4,48,50000
34,Male,Master's,Senior Software Developer,8,96,105000
50,Female,Master's,Director of Operations,21,252,160000
29,Male,Bachelor's,Junior Web Designer,3,36,45000
40,Female,Master's,Senior Training Specialist,12,144,100000
47,Male,PhD,Senior Research Scientist,22,264,160000
27,Male,Bachelor's,Junior Sales Representative,1,12,35000
39,Female,Bachelor's,Administrative Assistant,10,120,55000
46,Male,Master's,Senior Project Manager,19,228,140000
30,Female,Bachelor's,Junior Marketing Manager,4,48,50000
36,Male,Bachelor's,Junior Data Analyst,7,84,60000
43,Female,Master's,Senior Product Marketing Manager,14,168,120000
28,Male,Bachelor's,Junior Business Analyst,2,24,40000
41,Female,Master's,Senior Marketing Manager,13,156,110000
33,Male,Bachelor's,Junior Software Developer,5,60,50000
47,Male,Bachelor's,Senior Sales Manager,20,240,135000
25,Female,Master's,Junior Marketing Specialist,1.5,18,40000
34,Male,Bachelor's,Senior Business Analyst,8,96,90000
42,Female,PhD,Senior Data Scientist,16,192,150000
31,Male,Bachelor's,Junior Project Manager,4,48,60000
38,Female,Bachelor's,Senior Accountant,10,120,80000
45,Male,Master's,Director of Sales,19,228,175000
29,Female,Bachelor's,Junior Recruiter,3,36,45000
36,Male,Master's,Senior Business Development Manager,11,132,120000
43,Female,PhD,Senior Product Designer,18,216,140000
26,Male,Bachelor's,Junior Customer Support Specialist,2,24,35000
37,Female,Master's,Senior Marketing Analyst,9,108,95000
44,Male,Bachelor's,Senior IT Support Specialist,14,168,110000
32,Female,Bachelor's,Junior Financial Analyst,5,60,50000
33,Male,Master's,Senior Operations Manager,7,84,115000
51,Female,PhD,Director of Human Resources,23,276,185000
28,Male,Bachelor's,Junior Software Engineer,2,24,40000
39,Female,Bachelor's,Senior Sales Representative,12,144,90000
48,Male,Master's,Director of Product Management,21,252,175000
30,Female,Bachelor's,Junior Copywriter,3,36,45000
35,Male,Bachelor's,Senior Marketing Coordinator,7,84,80000
41,Female,Master's,Senior Human Resources Manager,13,156,120000
27,Male,Bachelor's,Junior Business Development Associate,1.5,18,35000
40,Female,Bachelor's,Senior Account Manager,14,168,110000
46,Male,PhD,Senior Researcher,18,216,150000
31,Female,Bachelor's,Junior HR Coordinator,4,48,50000
34,Male,Master's,Senior Software Engineer,9,108,105000
50,Female,Master's,Director of Finance,20,240,180000
29,Male,Bachelor's,Junior Marketing Coordinator,2,24,40000
,,,,,0,
43,Male,Bachelor's,Senior Project Manager,16,192,140000
26,Female,Master's,Junior Data Scientist,1.5,18,45000
35,Male,Bachelor's,Senior Operations Analyst,7,84,85000
42,Female,PhD,Senior Marketing Manager,18,216,140000
31,Male,Bachelor's,Junior Accountant,4,48,50000
38,Female,Bachelor's,Senior Human Resources Coordinator,10,120,80000
46,Male,Master's,Director of Operations,20,240,170000
29,Female,Bachelor's,Junior Sales Representative,2,24,40000
37,Male,Master's,Senior Business Analyst,9,108,105000
44,Female,,Senior UX Designer,15,180,145000
27,Male,Bachelor's,Junior Product Manager,2,24,40000
36,Female,Bachelor's,Senior Marketing Specialist,8,96,85000
43,Male,Bachelor's,Senior IT Project Manager,14,168,130000
33,Female,Master's,Senior Financial Analyst,6,72,95000
34,Male,Bachelor's,Senior Quality Assurance Analyst,9,108,100000
50,Female,PhD,Director of Sales and Marketing,22,264,180000
28,Male,Bachelor's,Junior Operations Analyst,1.5,18,35000
39,Female,Bachelor's,Senior Account Executive,12,144,95000
47,Male,Master's,Director of Business Development,19,228,170000
30,Female,Bachelor's,Junior Social Media Manager,3,36,45000
34,Male,Bachelor's,Senior Product Manager,7,84,95000
40,Female,Master's,Senior Human Resources Specialist,13,156,120000
28,Male,Bachelor's,Junior Business Analyst,2,24,40000
41,Female,Bachelor's,Senior Marketing Coordinator,11,132,90000
45,Male,PhD,Senior Data Analyst,17,204,155000
32,Female,Bachelor's,Junior Account Manager,5,60,55000
35,Male,Master's,Senior Software Developer,9,108,110000
49,Female,Master's,Director of Human Capital,21,252,180000
30,Male,Bachelor's,Junior Advertising Coordinator,3,36,45000
44,Male,Bachelor's,Senior Sales Manager,16,192,130000
27,Female,Master's,Junior UX Designer,1.5,18,45000
36,Male,Bachelor's,Senior Accountant,7,84,90000
41,Female,PhD,Senior Marketing Director,17,204,160000
31,Male,Bachelor's,Junior HR Generalist,4,48,50000
39,Female,Bachelor's,Senior Operations Manager,10,120,120000
47,Male,Master's,Director of Finance,20,240,170000
30,Female,Bachelor's,Junior Marketing Coordinator,2,24,40000
38,Male,Master's,Senior IT Consultant,9,108,110000
45,Female,PhD,Senior Product Designer,15,180,150000
28,Male,Bachelor's,Junior Business Development Associate,2,24,40000
35,Female,Bachelor's,Senior Marketing Analyst,8,96,85000
44,Male,Bachelor's,Senior Software Engineer,14,168,130000
34,Female,Master's,Senior Financial Advisor,6,72,100000
35,Male,Bachelor's,Senior Project Coordinator,9,108,95000
50,Female,PhD,Director of Operations,22,264,180000
32,Male,Bachelor's,Junior Sales Representative,3,36,45000
29,Male,Bachelor's,Junior Business Operations Analyst,1.5,18,35000
40,Female,Bachelor's,Senior Sales Representative,12,144,100000
48,Male,Master's,Director of Marketing,19,228,170000
31,Female,Bachelor's,Junior Social Media Specialist,3,36,45000
33,Male,Bachelor's,Senior Product Development Manager,7,84,100000
42,Female,Master's,Senior Human Resources Manager,13,156,140000
28,Male,Bachelor's,Junior Financial Analyst,2,24,40000
40,Female,Bachelor's,Senior Marketing Manager,11,132,105000
46,Male,PhD,Senior Data Scientist,18,216,160000
33,Female,Bachelor's,Junior Operations Manager,5,60,70000
37,Male,Master's,Senior Software Architect,9,108,120000
51,Female,Master's,Director of Human Resources,21,252,190000
30,Male,Bachelor's,Junior Marketing Specialist,3,36,45000
43,Male,Bachelor's,Senior Project Manager,15,180,120000
27,Female,Master's,Junior Research Scientist,1.5,18,50000
35,Male,Bachelor's,Senior Operations Analyst,8,96,85000
42,Female,PhD,Senior Marketing Manager,13,156,140000
32,Male,Bachelor's,Junior Sales Representative,3,36,45000
37,Female,Bachelor's,Senior Financial Analyst,9,108,100000
45,Male,Master's,Senior Software Developer,16,192,140000
33,Female,Bachelor's,Junior Operations Analyst,5,60,70000
39,Male,Bachelor's,Senior Marketing Specialist,10,120,120000
44,Female,PhD,Senior HR Manager,18,216,160000
29,Male,Bachelor's,Junior Business Analyst,1.5,18,40000
38,Female,Bachelor's,Senior Product Manager,10,120,120000
46,Male,PhD,Senior Data Analyst,19,228,150000
34,Female,Bachelor's,Junior Marketing Analyst,6,72,70000
36,Male,Bachelor's,Senior Operations Manager,8,96,95000
49,Female,Master's,Director of Marketing,21,252,180000
31,Male,Bachelor's,Junior Financial Analyst,3,36,50000
41,Female,Bachelor's,Senior Project Coordinator,11,132,95000
47,Male,Master's,Director of Operations,20,240,170000
30,Female,Bachelor's,Junior Marketing Coordinator,2,24,40000
38,Male,Master's,Senior IT Consultant,9,108,110000
45,Female,PhD,Senior Product Designer,15,180,150000
28,Male,Bachelor's,Junior Business Development Associate,2,24,40000
35,Female,Bachelor's,Senior Marketing Analyst,8,96,85000
44,Male,Bachelor's,Senior Software Engineer,14,168,130000
34,Female,Master's,Senior Financial Advisor,6,72,100000
35,Male,Bachelor's,Senior Project Coordinator,9,108,95000
50,Female,PhD,Director of Operations,22,264,180000
29,Male,Bachelor's,Junior Business Operations Analyst,1.5,18,350
34,Female,Master's,Senior Financial Advisor,6,72,100000
34,Female,Master's,Senior Financial Advisor,6,72,100000
37,Female,Bachelor's,Senior Financial Manager,10,120,120000
46,Male,PhD,Senior Data Scientist,18,216,160000
31,Female,Bachelor's,Junior Marketing Coordinator,3,36,50000
42,Male,Bachelor's,Senior Operations Manager,12,144,110000
29,Female,Bachelor's,Junior Sales Representative,1.5,18,40000
36,Male,Bachelor's,Senior Marketing Specialist,8,96,95000
44,Female,Master's,Senior HR Specialist,15,180,140000
33,Male,Bachelor's,Junior Operations Manager,4,48,60000
39,Female,Bachelor's,Senior Marketing Coordinator,9,108,110000
45,Male,PhD,Senior Data Engineer,16,192,150000
32,Female,Bachelor's,Junior Marketing Manager,4,48,60000
37,Male,Bachelor's,Senior Financial Analyst,8,96,90000
47,Female,Master's,Director of Marketing,20,240,180000
30,Male,Bachelor's,Junior Business Analyst,2,24,40000
38,Female,Bachelor's,Senior Project Manager,9,108,120000
46,Male,PhD,Senior Data Analyst,17,204,160000
34,Female,Bachelor's,Junior Financial Analyst,5,60,70000
36,Male,Bachelor's,Senior Product Manager,8,96,95000
49,Female,Master's,Director of Operations,21,252,180000
31,Male,Bachelor's,Junior Operations Analyst,3,36,50000
41,Female,Bachelor's,Senior Project Coordinator,11,132,95000
47,Male,Master's,Director of Marketing,19,228,170000
29,Female,Bachelor's,Junior Business Development Associate,1.5,18,35000
35,Male,Bachelor's,Senior Financial Manager,9,108,100000
44,Female,phD ST,Senior Product Designer,15,180,150000
33,Male,Bachelor's,Junior Business Analyst,4,48,60000
35,Female,Bachelor's,Senior Marketing Analyst,8,96,85000
44,Male,Bachelor's,Senior Software Engineer,13,156,130000
32,Male,Bachelor's,Junior Product Manager,4,48,65000
38,Female,Bachelor's,Senior Business Analyst,10,120,110000
49,Male,PhD,Director of Operations,21,252,180000
29,Female,Bachelor's,Junior Marketing Specialist,2,24,40000
35,Male,Bachelor's,Senior Business Development Manager,7,84,90000
45,Female,Master's,Senior HR Manager,14,168,140000
33,Male,Bachelor's,Junior Financial Analyst,4,48,60000
40,Female,Bachelor's,Senior Marketing Manager,12,144,130000
44,Male,PhD,Senior Data Scientist,16,192,160000
30,Female,Bachelor's,Junior Operations Coordinator,2,24,40000
37,Male,Bachelor's,Senior Marketing Analyst,9,108,100000
48,Female,Master's,Director of HR,20,240,180000
31,Male,Bachelor's,Junior Project Manager,3,36,55000
38,Female,Bachelor's,Senior Operations Coordinator,9,108,120000
45,Male,PhD,Senior Data Engineer,16,192,150000
33,Female,Bachelor's,Junior Marketing Manager,5,60,70000
36,Male,Bachelor's,Senior Business Analyst,8,96,95000
49,Female,Master's,Director of Marketing,21,252,180000
31,Male,Bachelor's,Junior Operations Analyst,3,36,50000
42,Female,Bachelor's,Senior Project Manager,12,144,120000
47,Male,Master's,Director of Marketing,19,228,170000
29,Female,Bachelor's,Junior Business Development Associate,1.5,18,35000
35,Male,Bachelor's,Senior Financial Manager,9,108,100000
44,Female,PhD,Senior Product Designer,15,180,150000
33,Male,Bachelor's,Junior Business Analyst,4,48,60000
35,Female,Bachelor's,Senior Marketing Analyst,8,96,85000
44,Male,Bachelor's,Senior Software Engineer,13,156,130000
34,Female,Master's,Senior Financial Advisor,6,72,80000
36,Male,Bachelor's,Senior Marketing Specialist,8,96,95000
30,Female,Bachelor's,Junior HR Coordinator,2,24,40000
37,Male,Bachelor's,Senior Business Development Manager,10,120,120000
45,Female,Master's,Senior Marketing Manager,16,192,160000
32,Male,Bachelor's,Junior Financial Advisor,4,48,65000
39,Female,Bachelor's,Senior Project Manager,12,144,130000
47,Male,PhD,Director of Engineering,20,240,180000
29,Female,Bachelor's,Junior Marketing Analyst,2,24,40000
36,Male,Bachelor's,Senior Operations Manager,9,108,100000
43,Female,PhD,Senior Data Scientist,15,180,150000
32,Male,Bachelor's,Junior Marketing Coordinator,3,36,55000
38,Female,Bachelor's,Senior Business Analyst,10,120,110000
48,Male,Master's,Director of Marketing,21,252,180000
31,Female,Bachelor's,Junior Business Development Associate,3,36,50000
40,Male,Bachelor's,Senior Financial Analyst,12,144,130000
45,Female,PhD,Senior UX Designer,16,192,160000
33,Male,Bachelor's,Junior Product Manager,4,48,60000
36,Female,Bachelor's,Senior Marketing Manager,8,96,95000
47,Male,Master's,Director of Operations,19,228,170000
29,Female,Bachelor's,Junior Project Manager,2,24,40000
34,Male,Bachelor's,Senior Operations Coordinator,7,84,90000
44,Female,PhD,Senior Business Analyst,15,180,150000
33,Male,Bachelor's,Junior Marketing Specialist,5,60,70000
35,Female,Bachelor's,Senior Financial Manager,8,96,90000
43,Male,Master's,Director of Marketing,18,216,170000
31,Female,Bachelor's,Junior Financial Analyst,3,36,50000
41,Male,Bachelor's,Senior Product Manager,14,168,150000
44,Female,PhD,Senior Data Engineer,16,192,160000
33,Male,Bachelor's,Junior Business Analyst,4,48,60000
35,Female,Bachelor's,Senior Marketing Analyst,8,96,85000
45,Male,Master's,Director of Engineering,19,228,180000
28,Female,Bachelor's,Junior Operations Manager,1,12,35000
36,Male,Bachelor's,Senior Business Development Manager,8,96,110000
44,Female,PhD,Senior Data Scientist,16,192,160000
31,Male,Bachelor's,Junior Marketing Coordinator,3,36,55000
38,Female,Bachelor's,Senior Business Analyst,10,120,110000
48,Male,Master's,Director of Marketing,21,252,180000
31,Female,Bachelor's,Junior Business Development Associate,3,36,50000
40,Male,Bachelor's,Senior Financial Analyst,12,144,130000
45,Female,PhD,Senior UX Designer,16,192,160000
33,Male,Bachelor's,Junior Product Manager,4,48,60000
36,Female,Bachelor's,Senior Marketing Manager,8,96,95000
47,Male,Master's,Director of Operations,19,228,170000
29,Female,Bachelor's,Junior Project Manager,2,24,40000
34,,Bachelor's,Senior Operations Coordinator,7,84,90000
44,Female,PhD,Senior Business Analyst,15,180,150000
33,Male,Bachelor's,Junior Marketing Specialist,5,60,70000
35,Female,Bachelor's,Senior Financial Manager,8,96,90000
43,Male,Master's,Director of Marketing,18,216,170000
31,Female,Bachelor's,Junior Financial Analyst,3,36,50000
41,Male,Bachelor's,Senior Product Manager,14,168,150000
44,Female,PhD,Senior Data Engineer,16,192,160000
33,Male,Bachelor's,Junior Business Analyst,4,48,60000
35,Female,Bachelor's,Senior Marketing Analyst,8,96,85000
43,Male,Master's,Director of Operations,19,228,170000
29,Female,Bachelor's,Junior Project Manager,2,24,40000
34,Male,Bachelor's,Senior Operations Coordinator,7,84,90000
44,Female,PhD,Senior Business Analyst,15,180,150000
31,Male,Master's,Data Scientist,6,72,160000
28,Female,Bachelor's,Software Engineer,3,36,125000
26,Male,Master's,Product Manager,2,24,120000
27,Female,Bachelor's,Data Analyst,2,24,110000
30,Male,PhD,Data Scientist,5,60,180000
29,Female,Bachelor's,Software Engineer,4,48,140000
32,Male,Bachelor's,Product Manager,7,84,170000
25,Female,Master's,Data Analyst,1,12,100000
33,Male,PhD,Data Scientist,8,96,190000
31,Female,Bachelor's,Software Engineer,6,72,155000
28,Male,Master's,Product Manager,3,36,130000
30,Female,Bachelor's,Data Analyst,5,60,145000
27,Male,PhD,Data Scientist,2,24,115000
29,Female,Bachelor's,Software Engineer,4,48,140000
34,Male,Bachelor's,Product Manager,9,108,185000
25,Female,Master's,Data Analyst,1,12,100000
33,Male,PhD,Data Scientist,8,96,190000
31,Female,Bachelor's,Software Engineer,6,72,155000
28,Male,Master's,Product Manager,3,36,130000
30,Female,Bachelor's,Data Analyst,5,60,145000
28,Male,Bachelor's,Software Engineer,3,36,125000
26,Female,Master's,Product Manager,2,24,120000
27,Male,Bachelor's,Data Analyst,2,24,110000
30,Female,PhD,Data Scientist,5,60,180000
29,Male,Bachelor's,Software Engineer,4,48,140000
32,Male,Bachelor's,Product Manager,7,84,170000
25,Female,Master's,Data Analyst,1,12,100000
33,Male,PhD,Data Scientist,8,96,190000
31,Female,Bachelor's,Software Engineer,6,72,155000
28,Male,Master's,Product Manager,3,36,130000
30,Female,Bachelor's,Data Analyst,5,60,145000
27,Male,PhD,Data Scientist,2,24,115000
29,Female,Bachelor's,Software Engineer,4,48,140000
34,Male,Bachelor's,Product Manager,9,108,185000
25,Female,Master's,Data Analyst,1,12,100000
33,Male,PhD,Data Scientist,8,96,190000
31,Female,Bachelor's,Software Engineer,6,72,155000
28,Male,Master's,Product Manager,3,36,130000
30,Female,Bachelor's,Data Analyst,5,60,145000
28,Male,Bachelor's,Software Engineer,3,36,125000
26,Female,Master's,Product Manager,2,24,120000
27,Male,Bachelor's,Data Analyst,2,24,110000
30,Female,PhD,Data Scientist,5,60,180000
29,Male,Bachelor's,Software Engineer,4,48,140000
32,Male,Bachelor's,Product Manager,7,84,170000
25,Female,Master's,Data Analyst,1,12,100000
33,Male,PhD,Data Scientist,8,96,190000
31,Female,Bachelor's,Software Engineer,6,72,155000
28,Male,Master's,Product Manager,3,36,130000
30,Female,Bachelor's,Data Analyst,5,60,145000
27,Male,PhD,Data Scientist,2,24,115000
29,Female,Bachelor's,Software Engineer,4,48,140000
34,Male,Bachelor's,Product Manager,9,108,185000
25,Female,Master's,Data Analyst,1,12,100000
33,Male,PhD,Data Scientist,8,96,190000
31,Female,Bachelor's,Software Engineer,6,72,155000
28,Male,Master's,Product Manager,3,36,130000
30,Female,Bachelor's,Data Analyst,5,60,145000
28,Male,Bachelor's,Software Engineer,3,36,125000
26,Female,Master's,Product Manager,2,24,120000
27,Male,Bachelor's,Data Analyst,2,24,110000
30,Female,PhD,Data Scientist,5,60,180000
29,Male,Bachelor's,Software Engineer,4,48,140000
32,Male,Bachelor's,Product Manager,7,84,170000
25,Female,Master's,Data Analyst,1,12,100000
33,Male,PhD,Data Scientist,8,96,190000
31,Female,Bachelor's,Software Engineer,6,72,155000
28,Male,Master's,Product Manager,3,36,130000
30,Female,Bachelor's,Data Analyst,5,60,145000
27,Male,PhD,Data Scientist,2,24,115000
29,Female,Bachelor's,Software Engineer,4,48,140000
34,Male,Bachelor's,Product Manager,9,108,185000
25,Female,Master's,Data Analyst,1,12,100000
33,Male,PhD,Data Scientist,8,96,190000
31,Female,Bachelor's,Software Engineer,6,72,155000
28,Male,Master's,Product Manager,3,36,130000
30,Female,Bachelor's,Data Analyst,5,60,145000
27,Male,PhD,Data Scientist,2,24,115000
29,Female,Bachelor's,Software Engineer,4,48,140000
34,Male,Bachelor's,Product Manager,9,108,185000
25,Female,Master's,Data Analyst,1,12,100000
33,Male,PhD,Data Scientist,8,96,190000
31,Female,Bachelor's,Software Engineer,6,72,155000
28,Male,Master's,Product Manager,3,36,130000
30,Female,Bachelor's,Data Analyst,5,60,145000
28,Male,Bachelor's,Software Engineer,3,36,125000
26,Female,Master's,Product Manager,2,24,120000
27,Male,Bachelor's,Data Analyst,2,24,110000
30,Female,PhD,Data Scientist,5,60,180000
29,Male,Bachelor's,Software Engineer,4,48,140000
32,Male,Bachelor's,Product Manager,7,84,170000
25,Female,Master's,Data Analyst,1,12,100000
33,Male,PhD,Data Scientist,8,96,190000
31,Female,Bachelor's,Software Engineer,6,72,155000
28,Male,Master's,Product Manager,3,36,130000
30,Female,Bachelor's,Data Analyst,5,60,145000
27,Male,PhD,Data Scientist,2,24,115000
29,Female,Bachelor's,Software Engineer,4,48,140000
34,Male,Bachelor's,Product Manager,9,108,185000
25,Female,Master's,Data Analyst,1,12,100000
33,Male,PhD,Data Scientist,8,96,190000
31,Female,Bachelor's,Software Engineer,6,72,155000
28,Male,Master's,Product Manager,3,36,130000
30,Female,Bachelor's,Data Analyst,5,60,145000
27,Male,PhD,Data Scientist,2,24,115000
29,Female,Bachelor's,Software Engineer,4,48,140000
34,Male,Bachelor's,Product Manager,9,108,185000
25,Female,Master's,Data Analyst,1,12,100000
33,Male,PhD,Data Scientist,8,96,190000
31,Female,Bachelor's,Software Engineer,6,72,155000
28,Male,Master's,Product Manager,3,36,130000
30,Female,Bachelor's,Data Analyst,5,60,145000
27,Male,PhD,Data Scientist,2,24,115000
29,Female,Bachelor's,Software Engineer,4,48,140000
34,Male,Bachelor's,Product Manager,9,108,185000
25,Female,Master's,Data Analyst,1,12,100000
33,Male,PhD,Data Scientist,8,96,190000
31,Female,Bachelor's,Software Engineer,6,72,155000
28,Male,Master's,Product Manager,3,36,130000
30,Female,Bachelor's,Data Analyst,5,60,145000
27,Male,PhD,Data Scientist,2,24,115000
29,Female,Bachelor's,Software Engineer,4,48,140000
34,Male,Bachelor's,Product Manager,9,108,185000
25,Female,Master's,Data Analyst,1,12,100000
33,Male,PhD,Data Scientist,8,96,190000
31,Female,Bachelor's,Software Engineer,6,72,155000
28,Male,Master's,Product Manager,3,36,130000
30,Female,Bachelor's,Data Analyst,5,60,145000
27,Male,PhD,Data Scientist,2,24,115000
29,Female,Bachelor's,Software Engineer,4,48,140000
34,Male,Bachelor's,Product Manager,9,108,185000
26,Male,Bachelor's,Data Analyst,3,36,130000
29,Female,Master's,Data Scientist,6,72,180000
32,Male,Bachelor's,Software Engineer,8,96,190000
27,Female,Bachelor's,Product Manager,4,48,150000
24,Male,Bachelor's,Data Analyst,1,12,90000
31,Female,Master's,Data Scientist,9,108,195000
28,Male,Bachelor's,Software Engineer,5,60,160000
33,Female,Master's,Product Manager,11,132,198000
25,Male,Bachelor's,Data Analyst,2,24,110000
30,Female,PhD,Data Scientist,7,84,185000
27,Male,Bachelor's,Software Engineer,4,48,140000
34,Female,Master's,Product Manager,12,144,196000
23,Male,Bachelor's,Data Analyst,1,12,95000
32,Female,PhD,Data Scientist,10,120,193000
29,Male,Bachelor's,Software Engineer,6,72,175000
30,Female,Bachelor's,Product Manager,5,60,160000
26,Male,Bachelor's,Data Analyst,3,36,130000
31,Female,Master's,Data Scientist,6,72,180000
28,Male,Bachelor's,Software Engineer,5,60,160000
